SMILES,Min_PE
BrC1=CC=C(Br)C(C2=CC(Br)=CC=C2Br)=C1,-2444.10192
BrC(Br)C(Br)Br,-1162.34945
BrC(Br)(Br)Br,-1012.13981
COC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-2276.33922
COC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,-2276.2971
ClC1=CC=C(Cl)C(Cl)=C1Cl,-1831.44508
ClC1=CC(Cl)=C(Cl)C(Cl)=C1,-1831.49111
ClC1=CC(Cl)=C(Cl)C=C1Cl,-1831.48902
CC1=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=CC=C1Cl,-2922.90855
CC1=C(Cl)C(CC2=CC=C(Cl)C=C2Cl)=CC=C1Cl,-2922.81021
CC1=C(Cl)C=C(CC2=CC(Cl)=CC=C2Cl)C(Cl)=C1,-2922.83587
CC1=C(Cl)C=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=C1,-2922.92063
CC1=C(Cl)C=C(Cl)C(CC2=CC=C(Cl)C=C2Cl)=C1,-2922.90375
CC1=C(Cl)C(Cl)=C(Cl)C(CC2=CC=C(Cl)C=C2)=C1,-2922.64626
CC1=C(CC2=C(Cl)C=CC=C2)C(Cl)=C(Cl)C(Cl)=C1,-2922.70601
CC1=C(CC2=CC=C(Cl)C=C2)C(Cl)=C(Cl)C(Cl)=C1,-2922.57864
ClC1=C(Cl)C(Cl)=C(Cl)C(C2=CC=CC=C2)=C1,-2622.29031
ClC1=CC=C(C2=CC=C(Cl)C(Cl)=C2)C(Cl)=C1,-2622.51268
ClC1=CC=C(Cl)C(C2=CC=CC(Cl)=C2Cl)=C1,-2622.57012
ClC1=CC=CC=C1C1=CC(Cl)=C(Cl)C=C1Cl,-2622.53031
ClC1=CC=C(Cl)C(C2=CC(Cl)=CC=C2Cl)=C1,-2622.63115
ClC1=CC=C(C2=CC=C(Cl)C(Cl)=C2)C=C1Cl,-2622.40812
ClC1=CC=C(Cl)C(C2=C(Cl)C=CC=C2Cl)=C1,-2622.67709
ClC1=CC=CC(Cl)=C1C1=C(Cl)C=CC=C1Cl,-2622.74144
ClC1=CC=C(C2=C(Cl)C=C(Cl)C=C2Cl)C=C1,-2622.59161
ClC1=CC(Cl)=CC(C2=CC(Cl)=CC(Cl)=C2)=C1,-2622.51503
ClC1=C(Cl)C=C2C(=C1)OC1=CC(Cl)=C(Cl)C=C12,-2890.13563
ClC1=C(Cl)C(Cl)=C2OC3=CC=CC=C3OC2=C1Cl,-3184.91934
ClC1=CC=C2OC3=C(Cl)C(Cl)=C(Cl)C=C3OC2=C1,-3185.09428
ClC1=CC(Cl)=C2OC3=CC(Cl)=CC(Cl)=C3OC2=C1,-3185.13942
ClC1=C(Cl)C=C2OC3=CC(Cl)=C(Cl)C=C3OC2=C1,-3185.16506
ClC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C(Cl)=C1,-2917.44453
ClC1=CC=C(OC2=CC=C(Cl)C(Cl)=C2)C=C1Cl,-2917.23129
ClC(Cl)C(Cl)Cl,-1340.37349
ClCC(Cl)(Cl)Cl,-1340.42364
ClC(Cl)C(Cl)Cl,-1340.37368
ClC(Cl)=C(Cl)Cl,-1312.44221
ClC(Cl)=C(Cl)Cl,-1312.44227
ClC(Cl)(Cl)Cl,-1190.01639
COC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1OC,-2721.00679
FC1=CC(F)=C(F)C=C1F,-2626.07519
C1CCOC1,-894.65675
C1CCOCC1,-1044.70872
CC1=CC(C)=C(C)C=C1C,-1418.0901
CC1=CC=CC=C1,-967.72235
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-5603.38207
BrC1=CC=CC(Br)=C1Br,-1444.29162
BrC1=CC=C(Br)C(Br)=C1,-1444.31889
