SMILES,Min_PE
NC(CSCCCSCC(N)C(=O)O)C(=O)O,-3256.78596
NC(CSCCCCSCC(N)C(=O)O)C(=O)O,-3406.76206
NC(=O)NCC(=O)NCC(=O)NCC(=O)O,-3245.2241
NC(CSCCCCCSCC(N)C(=O)O)C(=O)O,-3556.76867
NC(CSCCCCCCSCC(N)C(=O)O)C(=O)O,-3706.73188
NC1=C2NC(=O)N=C2NC(=O)N1,-2203.24601
CCC1=NC2=NC=NC(N)=C2N=C1CC,-2334.70457
CC(C)CC(NC(=O)C(C)NC(=O)CN)C(=O)NC(C(=O)O)C(C)C,-4594.47108
COC1=CC2=C(N=CC=N2)C(N)=C1OC,-2524.81086
CCCCCCOC(=O)C(C)O,-2235.4637
CCCCCCCCOC(=O)C(C)O,-2535.45158
CCCCC(NC(C)=O)C(=O)O,-2258.86699
CCC(C)C(NC(C)=O)C(=O)O,-2258.90009
CC(C(C)O[N+](=O)O)O[N+](=O)O,-2763.42991
N=C(N)NCCCC(N)C(=O)O,-2262.04911
CCCCC(NC(N)=O)C(=O)O,-2308.8488
CSCCC(NC(C)=O)C(=O)O,-2285.48166
O=S(CCCl)CCS(=O)CCCl,-2376.40414
CC(SSC(C)C(=O)O)C(=O)O,-2408.29247
CC(C)CC(NC(=O)CN)C(=O)O,-2458.43641
CCC(SC(CC)C(=O)O)C(=O)O,-2531.14466
CC(SCSC(C)C(=O)O)C(=O)O,-2557.80717
CSC(CCC(SC)C(=O)O)C(=O)O,-2707.84182
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-2758.28618
NC(CSCC(N)C(=O)O)C(=O)O,-2630.39697
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,-2908.30934
CC(=O)NC(CCC(=O)O)C(=O)O,-2672.87764
NC(=O)NN=CC(O)C(O)C(O)CO,-2947.71399
CCSC(=S)OC(CC(=O)O)C(=O)O,-2825.17335
CCOC(=S)SC(CC(N)=O)C(=O)O,-2729.67852
CCOC(=S)SC(CC(=O)O)C(=O)O,-2825.20587
CC(CC(C)(C(=O)O)C(=O)O)C(=O)O,-2918.36086
CCSC(CCC(SCC)C(=O)O)C(=O)O,-3007.83054
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,-3058.17642
NC(CCSSCCC(N)C(=O)O)C(=O)O,-3107.263
C=CCSC(CCC(SCC=C)C(=O)O)C(=O)O,-3252.22579
CC(C)CC(N)C(=O)NCC(=O)NCC(=O)O,-3226.49349
CC(C)CC(Br)C(=O)NC(C)C(=O)NC(C)C(=O)O,-3535.76502
CC(C)CC(NC(=O)CNC(=O)CN)C(=O)O,-3226.4884
COC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O,-5539.7624
CCCCCCCCCNC(=O)C1=CN=CC=C1,-2835.12394
CCCCCCCCOCC(O)CO,-2562.02031
C1=C(SC(=C1)[N+](=O)[O-])C(=O)NN,-2299.10687
O=C(NC1=NC=CC=N1)C1=CN=CC=N1,-2424.79649
CCCCCCNC(=O)C(C)O,-2140.22354
NS(=O)(=O)C1=NC2=C(C=CC=C2)S1,-2256.7844
OC(=S)CCCCCCC(O)=S,-2115.5695
CCCCOP(=O)(CCCC)CCCC,-2607.41324
CCCC(=O)NNC(=O)CCC,-2162.47546
CCC(=O)NCCNC(=O)CC,-2163.19332
CCN(CC)S(=O)(=O)N(CC)CC,-2393.09623
CCCCCCCCCCNC(=O)C(C)O,-2739.91538
CCCCCCCCCCOC(=O)C(C)O,-2835.36986
NC(=O)NCCCCCC(=O)O,-2308.94025
OC(=S)CCCCCCCC(O)=S,-2265.5268
C=CCC(C(=O)NC(N)=O)C(C)C,-2285.29409
OC(=S)CCCCCCCCC(O)=S,-2415.51465
CCOC(=O)CCCC(=O)OCC,-2503.99014
O=C(NCCO)C(=O)NCCO,-2453.38151
O=C(O)CCSSCCC(=O)O,-2408.28803
N#CCCN(CCC#N)CC(=O)O,-2279.68498
CCCC(=O)NCCNC(=O)CCC,-2463.12714
COC(=O)C(C#N)C(=O)CC(C)C,-2352.97926
CCCCC(=O)NNC(=O)CCCC,-2462.36626
CCOC(=O)CCCCC(=O)OCC,-2653.95854
CCOC(=O)CNC(C)=CC(C)=O,-2380.69248
CC1(C)NC(=O)N(CC2=CC=CC=C2)C1=O,-2626.78364
NC(=O)NCC(=O)NCC(=O)O,-2477.01532
O=C(O)CNC(=S)SCC(=O)O,-2430.04045
CCCCC(=O)NCCNC(=O)CCCC,-2762.94442
CCOC(=O)CCCCCCC(=O)OCC,-2953.89812
COC(=O)CCCCCCCCC(=O)OC,-2953.55936
CCCCOC(=O)NS(N)(=O)=O,-2507.69148
CCC(CO[N+](=O)O)O[N+](=O)O,-2763.30514
CCCCCCCCOC(=O)C(C)OC(C)=O,-3103.61307
COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1,-2425.98946
CCCC(C)(COC(N)=O)COC(N)=O,-2903.65175
CCCCCC(=O)NCCNC(=O)CCCCC,-3062.92569
CCOC(=O)CCCCCCCCC(=O)OCC,-3253.79569
CCC(CC)COC(=O)NS(N)(=O)=O,-2807.57186
CC(C=NNC(N)=O)=NNC(N)=O,-2456.45848
O=C(CCCCC(=O)NCCO)NCCO,-3053.5068
CCCCS(=O)(=O)NS(=O)(=O)CCCC,-2961.59818
O=S(=O)(CCCl)CCS(=O)(=O)CCCl,-2968.22938
CCCCC(CC)COC(=O)NS(N)(=O)=O,-3107.53149
CC(O)C(=O)NCCCCCCNC(=O)C(C)O,-3353.58152
C1C2(COP(=O)(O1)OC2)[N+](=O)[O-],-2705.48058
COP(=S)(OC)SSP(=S)(OC)OC,-2897.33575
O=C(O)CSC(SCC(=O)O)SCC(=O)O,-3298.53631
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3853.52818
CCCCCCS(=O)(=O)NS(=O)(=O)CCCCCC,-3561.24006
CC(=O)OC(OC(C)=O)C(OC(C)=O)OC(C)=O,-3781.25093
O=C(NCCCCCCNC(=O)OCCO)OCCO,-3943.91384
